icd_code,icd_version,long_title,cancer_type
C160,10,Malignant neoplasm of cardia,Gastrointestinal Cancer
C162,10,Malignant neoplasm of body of stomach,Gastrointestinal Cancer
C3431,10,"Malignant neoplasm of lower lobe, right bronchus or lung",Malignant neoplasm of bronchus and lung
C431,10,"Malignant melanoma of eyelid, including canthus",Malignant melanoma of skin
C44319,10,Basal cell carcinoma of skin of other parts of face,Other malignant neoplasms of skin
C449,10,"Other and unspecified malignant neoplasm of skin, unspecified",Other malignant neoplasms of skin
C4A39,10,Merkel cell carcinoma of other parts of face,Merkel cell carcinoma
C50019,10,"Malignant neoplasm of nipple and areola, unspecified female breast",Breast Cancer
C50929,10,Malignant neoplasm of unspecified site of unspecified male breast,Breast Cancer
C541,10,Malignant neoplasm of endometrium,Malignant neoplasm of corpus uteri
C62,10,Malignant neoplasm of testis,Malignant neoplasm of testis
C630,10,Malignant neoplasm of epididymis,Malignant neoplasm of other male genital organs
C67,10,Malignant neoplasm of bladder,Malignant neoplasm of bladder
C764,10,Malignant neoplasm of upper limb,Malignant neoplasm of other and ill-defined sites
C7889,10,Secondary malignant neoplasm of other digestive organs,Secondary malignant neoplasm of respiratory and digestive organs
C8115,10,"Nodular sclerosis Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Hodgkin lymphoma
C8125,10,"Mixed cellularity Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Hodgkin lymphoma
C8197,10,"Hodgkin lymphoma, unspecified, spleen",Hodgkin lymphoma
C8296,10,"Follicular lymphoma, unspecified, intrapelvic lymph nodes",Non-Hodgkin Lymphoma
C8445,10,"Peripheral T-cell lymphoma, not classified, lymph nodes of inguinal region and lower limb",Mature T/NK-cell lymphomas
C9001,10,Multiple myeloma in remission,Multiple myeloma and malignant plasma cell neoplasms
C922,10,"Atypical chronic myeloid leukemia, BCR/ABL-negative",Leukemia
C931,10,Chronic myelomonocytic leukemia,Monocytic leukemia
C049,10,"Malignant neoplasm of floor of mouth, unspecified",Malignant neoplasm of floor of mouth
C069,10,"Malignant neoplasm of mouth, unspecified",Malignant neoplasm of other parts of mouth
C165,10,"Malignant neoplasm of lesser curvature of stomach, unspecified",Gastrointestinal Cancer
C171,10,Malignant neoplasm of jejunum,Malignant neoplasm of small intestine
C329,10,"Malignant neoplasm of larynx, unspecified",Malignant neoplasm of larynx
C3432,10,"Malignant neoplasm of lower lobe, left bronchus or lung",Malignant neoplasm of bronchus and lung
C38,10,"Malignant neoplasm of heart, mediastinum and pleura","Malignant neoplasm of heart, mediastinum, and pleura"
C4010,10,Malignant neoplasm of short bones of unspecified upper limb,Malignant neoplasm of bone and articular cartilage of limbs
C44291,10,Other specified malignant neoplasm of skin of unspecified ear and external auricular canal,Other malignant neoplasms of skin
C44629,10,"Squamous cell carcinoma of skin of left upper limb, including shoulder",Other malignant neoplasms of skin
C4499,10,"Other specified malignant neoplasm of skin, unspecified",Other malignant neoplasms of skin
